response,offset_task,prime,pause_trigger,offset_prime,duration_measured_task,correct_resp,task_trigger,ID,rt,duration_frames_task,delay_frames_after,trial_type,duration_measured_prime,prime_trigger,pause_trigger_t,delay_frames_before,onset_prime,task_type,onset_task,gender,age,trial_number,key_t,duration_frames_prime
a,278.0083212000027,left,33,273.04145560000325,2.9952777000144124,1,23,Group6,0.5962824000162072,180,40,left,0.03143270002328791,13,273.5413666999957,118,273.01002289997996,1,275.01304349998827,female,,49,275.6093259000045,2
l,283.67511359998025,red,32,278.7080040999863,2.9954180999775417,1,22,Group6,0.42939959999057464,180,40,red,0.031378199986647815,12,279.2083278000064,118,278.67662589999964,2,280.6796955000027,female,,50,281.1090950999933,2
a,288.0421820000047,blue,31,284.374902999989,2.9955088999995496,1,21,Group6,0.5292498999915551,180,118,blue,0.031461200007470325,11,284.8752708999964,40,284.3434417999815,1,285.04667310000514,female,,51,285.5759229999967,2
l,293.708896199998,red,32,290.04172879998805,2.9950016000075266,1,22,Group6,0.49540869999327697,180,118,red,0.03122770000481978,12,290.54212130000815,40,290.01050109998323,2,290.71389459999045,female,,52,291.20930329998373,2
l,299.3758553999942,no_prime,52,295.7086180000042,2.995432499999879,1,42,Group6,0.5791404999908991,180,118,none,0.031044800009112805,15,296.2090474999859,40,295.6775731999951,2,296.3804228999943,female,,53,296.9595633999852,2
a,305.04261099998257,no_prime,51,301.37559310000506,2.994995299988659,1,41,Group6,0.545490599994082,180,118,none,0.031146599998464808,15,301.87604820000706,40,301.3444465000066,1,302.0476156999939,female,,54,302.593106299988,2
a,312.009614199982,blue,31,307.04265889999806,2.9951978999888524,1,21,Group6,0.5123392000095919,180,40,blue,0.03143390000332147,11,307.54287059998023,118,307.01122499999474,1,309.0144162999932,female,,55,309.52675550000276,2
l,317.67645850000554,red,32,312.709326399985,2.9952396000153385,1,22,Group6,0.6291379000176676,180,40,red,0.03132879998884164,12,313.2097315999854,118,312.67799759999616,2,314.6812188999902,female,,56,315.31035680000787,2
l,323.3433878000069,right,34,318.37636100000236,2.9952292000234593,1,24,Group6,0.5956256000208668,180,40,right,0.03135970002040267,14,318.87653649999993,118,318.34500129998196,2,320.34815859998344,female,,57,320.9437842000043,2
a,329.0102084999962,blue,31,324.0429518999881,2.9952224000007845,1,21,Group6,0.6123629999929108,180,40,blue,0.031201599980704486,11,324.54348989998107,118,324.0117503000074,1,326.01498609999544,female,,58,326.62734909998835,2
a,334.67713609998464,left,33,329.7101182999904,2.995226899976842,1,23,Group6,0.612882699992042,180,40,left,0.03129559999797493,13,330.2102600999933,118,329.67882269999245,1,331.6819092000078,female,,59,332.29479189999984,2
a,339.0439410999825,left,33,335.3769025999936,2.995087399991462,1,23,Group6,0.5957701000152156,180,118,left,0.030622499994933605,13,335.8771657999896,40,335.3462800999987,1,336.048853699991,female,,60,336.64462380000623,2
l,344.71083359999466,no_prime,52,341.0436606000003,2.995179299992742,1,42,Group6,0.6289754000026733,180,118,none,0.031083800015039742,15,341.54438360000495,40,341.01257679998525,2,341.7156543000019,female,,61,342.3446297000046,2
a,350.37772990000667,blue,31,346.7106633000076,2.9950681000191253,1,21,Group6,0.5288193000014871,180,118,blue,0.03136150000500493,11,347.2109679999994,40,346.6793018000026,1,347.38266179998755,female,,62,347.91148109998903,2
l,356.04468479999923,no_prime,52,352.37747609999496,2.995228699990548,1,42,Group6,0.5292581999965478,180,118,none,0.031168099987553433,15,352.8778837999853,40,352.3463080000074,2,353.0494561000087,female,,63,353.57871430000523,2
l,363.0114942000073,right,34,358.0446191999945,2.995202900026925,1,24,Group6,0.5793669000267982,180,40,right,0.0312778000079561,14,358.54488860000856,118,358.01334139998653,2,360.01629129998037,female,,64,360.59565820000716,2
l,368.67833729999256,no_prime,52,363.7111953999847,2.9951574000006076,1,42,Group6,0.5123971000139136,180,40,none,0.031152499985182658,15,364.2115120999806,118,363.68004289999953,2,365.68317989999196,female,,65,366.19557700000587,2
a,373.0453681999934,blue,31,369.3781189000001,2.99531769999885,1,21,Group6,0.5791626000136603,180,118,blue,0.03134230000432581,11,369.87902379999286,40,369.3467765999958,1,370.05005049999454,female,,66,370.6292131000082,2
l,380.0123195000051,no_prime,52,375.0450247999979,2.995349700009683,1,42,Group6,0.4957579000038095,180,40,none,0.03116109999245964,15,375.5453913999954,118,375.01386370000546,2,377.0169697999954,female,,67,377.51272769999923,2
l,385.67916810000315,right,34,380.7120356000087,2.995445300010033,1,24,Group6,0.6292177000141237,180,40,right,0.03127790000871755,14,381.2122982000001,118,380.68075769999996,2,382.6837227999931,female,,68,383.31294050000724,2
a,391.34598969999934,blue,31,386.37883420000435,2.9953968999907374,1,21,Group6,0.5956389999773819,180,40,blue,0.031249699997715652,11,386.8790861000016,118,386.34758450000663,1,388.3505928000086,female,,69,388.946231799986,2
l,395.71284289998584,red,32,392.0456989000086,2.994984299992211,1,22,Group6,0.5457441000035033,180,118,red,0.03136220001033507,12,392.5461643000017,40,392.01433669999824,2,392.71785859999363,female,,70,393.26360269999714,2
a,402.68000739999115,no_prime,51,397.71266829999513,2.9955874999868684,1,41,Group6,0.5460198999790009,180,40,none,0.031206399988150224,15,398.2129283999966,118,397.681461900007,1,399.6844199000043,female,,71,400.2304397999833,2
a,407.0465808000008,blue,31,403.379443599988,2.995008099998813,1,21,Group6,0.7621059999801219,180,118,blue,0.03147980000358075,11,403.8796603999799,40,403.3479637999844,1,404.051572700002,female,,72,404.8136786999821,2
a,414.0135062999907,no_prime,51,409.046439800004,2.9950911999912933,1,41,Group6,0.6288857999898028,180,40,none,0.03126010001869872,15,409.54667690000497,118,409.0151796999853,1,411.0184150999994,female,,73,411.6473008999892,2
l,418.3803772999963,red,32,414.71315339999273,2.995320099988021,1,22,Group6,0.6124338999798056,180,118,red,0.03170359999057837,12,415.21359400000074,40,414.68144980000216,2,415.3850572000083,female,,74,415.9974910999881,2
a,424.04724799998803,no_prime,51,420.3799856999831,2.9953076999809127,1,41,Group6,0.662488999980269,180,118,none,0.03098469998803921,15,420.8804578999989,40,420.34900099999504,1,421.0519403000071,female,,75,421.7144292999874,2
a,429.71409689998836,blue,31,426.0471031999914,2.9954295000061393,1,21,Group6,0.5292399000027217,180,118,blue,0.03159629998845048,11,426.5472918000014,40,426.01550690000295,1,426.7186673999822,female,,76,427.24790729998494,2
